Datetime,Leg,Team,OBR,Video,Length,People,Description,Tags
2017-10-25 13:40:15,1,Sun Hung Kai/Scallywag,Jeremie Lecaudey,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104990_13-01-171025-shk-00001_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104990_13-01-171025-shk-00001_00002_480x270.jpg""))",,,,
2017-10-25 12:50:51,1,Dongfeng Race Team,Richard Edwards,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104985_13-01-171025-dfg-00006_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104985_13-01-171025-dfg-00006_00002_480x270.jpg""))",,,,
2017-10-25 12:42:40,1,Team Brunel,Martin Keruzoré,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104984_13-01-171025-bnl-00002_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104984_13-01-171025-bnl-00002_00002_480x270.jpg""))",,,,
2017-10-25 11:49:00,1,Turn the Tide on Plastic,Jen Edney,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104975_13-01-171025-ttt-00002_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104975_13-01-171025-ttt-00002_00002_480x270.jpg""))",,,,
2017-10-25 11:02:10,1,Team Brunel,Martin Keruzoré,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104974_13-01-171025-bnl-00001_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104974_13-01-171025-bnl-00001_00002_480x270.jpg""))",,,,
2017-10-25 10:51:41,1,Dongfeng Race Team,Richard Edwards,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104973_13-01-171025-dfg-00004_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104973_13-01-171025-dfg-00004_00002_480x270.jpg""))",,,,
2017-10-25 09:09:47,1,MAPFRE,Ugo Fonollá,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104963_13-01-171025-mpf-ugf-00001_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104963_13-01-171025-mpf-ugf-00001_00002_480x270.jpg""))",,,,
2017-10-25 08:52:15,1,Dongfeng Race Team,Richard Edwards,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104958_13-01-171025-dfg-000002_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104958_13-01-171025-dfg-000002_00002_480x270.jpg""))",,,,
2017-10-25 08:26:19,1,Turn the Tide on Plastic,Jen Edney,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104954_13-01-171025-ttt-00001_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104954_13-01-171025-ttt-00001_00002_480x270.jpg""))",,,,
2017-10-25 08:10:30,1,Sun Hung Kai/Scallywag,Jeremie Lecaudey,"=HYPERLINK(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/m104951_13-01-171025-shk-00003_HD.mp4"", IMAGE(""https://volvooceanrace-2017-18.s3.amazonaws.com/videos/cropped/thumb/m104951_13-01-171025-shk-00003_00002_480x270.jpg""))",,,,
